Location,temperature,humidity,ph,rainfall,N,P,K,label,price,Price_Date
Poompuhar,22.69657794,82.81088865,6.028321558,256.9964761,74,10,180,rice,710,2-Aug-11
Ponneri,22.68319059,83.46358271,6.604993475,194.2651719,98,18,171,rice,773,3-Aug-11
Polur,21.53346343,82.14004101,6.500343222,295.9248796,69,9,180,rice,523,4-Aug-11
Pollachi,21.40865769,83.3293191,5.935745417,287.5766935,84,9,154,rice,324,5-Aug-11
Perundurai,26.54348085,84.67353597,7.072655622,183.6222657,84,9,169,rice,352,6-Aug-11
Periyakulam,23.35905428,83.59512273,5.333322606,188.413665,66,15,195,rice,178,7-Aug-11
Peravurani,31.48468379,50.66105961,6.898283926,78.67221693,98,10,154,wheat,83,8-Aug-11
Perambur,23.22281906,59.31511313,6.277126912,108.6591857,64,?,194,wheat,38,9-Aug-11
Perambalur,22.72115394,59.08183914,6.777815868,96.15004854,95,7,103,wheat,39,10-Aug-11
Pennagaram,29.1445857,52.03325153,6.636011826,83.12920841,95,10,190,wheat,60,11-Aug-11
Pattukkottai,22.45072926,59.95707274,6.621852926,102.5746649,98,21,177,wheat,280,12-Aug-11
Paramathi Velur,33.86234244,51.18584832,6.534570427,100.9176088,84,?,135,wheat,386,13-Aug-11
Paramakudi,26.64588548,57.80160525,6.86457445,101.2399862,98,10,138,wheat,396,14-Aug-11
Pappireddippatti,29.36844736,,6.661889181,146.9927661,89,54,138,wheat,780,15-Aug-11
Papanasam,32.88585306,53.10941724,6.403792662,82.66761245,64,8,180,wheat,683,16-Aug-11
Panruti,26.16451456,58.42549605,6.478950147,114.523192,105,?,118,wheat,1016,17-Aug-11
Pallavaram,32.7874383,52.10621259,6.46287051,137.3148173,96,16,103,wheat,1098,18-Aug-11
Palladam,30.85433994,54.23237016,6.325581948,158.335716,71,9,172,wheat,1074,19-Aug-11
Palayamkottai,32.81296537,59.77332042,6.36961687,135.892958,99,15,?,wheat,1048,20-Aug-11
Palani,21.63742097,52.15672023,6.904246873,127.94704,85,14,103,wheat,898,21-Aug-11
Palacode,21.56081364,58.24317828,6.641266386,120.3062225,119,7,198,wheat,1299,22-Aug-11
Padmanabhapuram,24.91898014,56.57494308,6.577047814,157.6254107,60,9,165,wheat,1075,23-Aug-11
Ottapidaram,23.3675234,51.44040522,6.290553118,119.4179161,100,15,166,wheat,513,24-Aug-11
Orathanadu,32.61168513,53.43450388,6.432582812,129.0833029,71,9,146,wheat,1120,25-Aug-11
Omalur,32.98761855,56.91380716,6.720389552,157.8209829,113,?,108,wheat,1046,26-Aug-11
Oddanchatram,21.1671627,50.76765874,6.917991832,84.09900369,64,15,179,wheat,424,27-Aug-11
Nominated (Anglo-Indian community,32.29245075,57.77217857,6.176585923,107.7013803,64,13,104,wheat,646,28-Aug-11
Nilakottai,31.85745209,58.78096546,6.767201101,139.4082228,103,21,197,wheat,656,29-Aug-11
Neyveli,20.46228174,52.60336141,6.358830803,88.64082953,51,9,155,wheat,372,30-Aug-11
Natham,30.20210041,50.1380326,6.408720502,159.637369,103,?,103,wheat,166,31-Aug-11
Nannilam,32.83804521,57.00195681,6.054040722,138.8577307,79,6,181,wheat,42,1-Sep-11
Nanguneri,28.64841334,56.59916797,,136.3002864,107,19,194,wheat,103,2-Sep-11
Namakkal,33.20749638,52.51777152,6.54841022,158.9074287,103,41,194,wheat,205,3-Sep-11
Nagercoil,30.8789865,58.21944052,6.546858671,104.7971044,108,23,184,wheat,323,4-Sep-11
Nagapattinam,23.26796952,55.62757951,6.230511475,144.790146,65,15,185,wheat,769,5-Sep-11
Mylapore,26.92593036,54.04316819,6.593136467,102.9943581,99,?,179,wheat,863,6-Sep-11
Musiri,33.95209584,59.4699163,6.640428943,133.3803746,104,19,161,wheat,1351,7-Sep-11
Mudhukulathur,20.09136946,53.97223311,6.207077353,125.2942205,61,11,198,wheat,1270,8-Sep-11
Modakkurichi,26.08577313,56.06768745,6.00834863,152.0998446,103,?,191,wheat,1159,9-Sep-11
Mettur,22.09104373,56.25209511,6.875602788,84.30277408,125,19,138,wheat,1056,10-Sep-11
Mettupalayam,33.95105177,54.15593399,6.377430001,159.7094503,?,19,192,wheat,1261,11-Sep-11
Melur,28.53146346,51.51158498,6.86342785,79.13672088,59,10,183,wheat,1199,12-Sep-11
Mayiladuthurai,28.00510977,55.17019342,6.830847712,115.4433552,74,7,184,wheat,1183,13-Sep-11
Mannargudi,27.04402781,59.13144774,6.253928101,144.133609,63,16,165,wheat,1156,14-Sep-11
Manapaarai,33.13479807,50.01891663,6.689747085,102.0858776,109,18,103,wheat,1164,15-Sep-11
Manamadurai,31.61960395,51.08614902,6.583213487,135.2358305,106,21,179,wheat,1213,16-Sep-11
Manachanallur,27.50568957,,6.161839979,114.8541306,99,19,195,wheat,997,17-Sep-11
Mailam,24.33278733,56.12417545,6.103348652,109.1351681,74,14,180,wheat,743,18-Sep-11
Maduravoyal,28.72164631,59.37579557,6.743792045,121.4840528,119,?,184,wheat,1121,19-Sep-11
Maduranthakam,25.28101255,51.19969856,6.291139182,96.52795631,99,25,184,wheat,895,20-Sep-11
Madurai West,30.83055881,56.65623952,6.477394823,153.4808896,68,?,103,wheat,768,21-Sep-11
Madurai South,24.78475421,54.86675337,6.324058546,161.7501599,113,9,146,wheat,283,22-Sep-11
Madurai North,21.2500493,50.54668411,6.395707486,76.73202842,69,15,160,wheat,152,23-Sep-11
Madurai East,22.71147615,51.51443588,6.187386059,82.51483333,65,10,175,wheat,65,24-Sep-11
Madurai Central,28.98830116,57.96458855,6.598386095,154.1027485,74,?,194,wheat,23,25-Sep-11
Madavaram,26.66935651,54.10971217,6.094391879,,68,13,133,wheat,70,26-Sep-11
Madathukulam,26.44910438,51.15043087,6.364014181,85.87718731,121,35,194,wheat,46,27-Sep-11
Lalgudi,25.15272442,51.54767082,6.092065594,100.0629969,99,10,295,wheat,228,28-Sep-11
Kurinjipadi,22.15367553,58.34318338,6.624886074,105.7586828,59,8,91,wheat,371,29-Sep-11
Kunnam,22.16269576,58.90741579,6.540173202,103.4171832,80,9,39,wheat,640,30-Sep-11
Kumbakonam,,52.61899038,6.60246342,124.9172678,95,?,171,wheat,1005,1-Oct-11
Kumarapalayam,27.65509604,53.92601391,6.276107098,85.77839497,54,10,149,wheat,918,2-Oct-11
Kulithalai,28.59943017,57.85268636,6.159415985,146.3208345,110,9,118,wheat,1009,3-Oct-11
Krishnarayapuram,21.80851548,50.5096322,6.506951286,138.213473,96,23,150,wheat,749,4-Oct-11
Krishnagiri,24.586226,50.25912969,6.507618946,98.73003058,103,13,194,wheat,808,5-Oct-11
Kovilpatti,28.75736442,58.85227538,6.226465334,116.1287685,79,10,104,wheat,973,6-Oct-11
Kolathur,25.53649642,53.97363189,6.178633084,89.72013147,71,13,155,wheat,1148,7-Oct-11
Kinathukadavu,28.86914133,50.50983056,6.457965853,89.11392893,56,10,169,wheat,1085,8-Oct-11
Kilvelur,23.20653917,57.75517139,6.326077291,135.6644149,76,10,171,wheat,1142,9-Oct-11
Kilpennathur,30.03447137,57.16714071,6.66999862,128.2064115,91,15,161,wheat,1120,10-Oct-11
Killiyoor,22.69094467,53.86422324,6.213296759,140.4013334,79,14,144,wheat,635,11-Oct-11
Kavundampalayam,21.8236595,59.64581441,6.849236311,,91,16,195,wheat,1039,12-Oct-11
Kattumannarkoil,21.73121202,55.21660738,6.321308622,123.9601092,103,22,164,wheat,1045,13-Oct-11
Katpadi,31.76167796,57.72743864,6.198411713,82.10434989,94,9,198,wheat,787,14-Oct-11
Karur,31.32720734,54.17967763,6.621678462,144.8018325,66,15,149,wheat,622,15-Oct-11
Karaikudi,,53.68391381,6.804891621,106.0760607,59,?,160,wheat,173,16-Oct-11
Kanniyakumari,20.40661421,55.50882624,6.476640786,100.659201,126,57,195,wheat,71,17-Oct-11
Kangayam,28.9138963,54.10859843,6.289688565,153.1256813,95,?,181,wheat,16,18-Oct-11
Kancheepuram,21.3272581,50.74277753,6.032033678,86.54737814,53,13,95,wheat,34,19-Oct-11
Kallakurichi,23.41584543,59.98962806,6.211739299,131.959498,?,?,104,wheat,70,20-Oct-11
Kalasapakkam,33.8708865,56.78024695,6.756850847,91.72867099,126,79,160,wheat,62,21-Oct-11
Kadayanallur,23.92271434,52.27758641,6.755050225,,94,25,174,wheat,292,22-Oct-11
K. V. Kuppam,23.57774533,55.62655185,6.563359708,141.3680666,113,25,194,wheat,620,23-Oct-11
Jolarpet,,54.87291737,6.901182568,146.6616428,113,?,198,wheat,691,24-Oct-11
Jayankondam,22.71215545,54.72066163,6.002569182,94.83486133,124,23,184,wheat,1032,25-Oct-11
Hosur,27.62626513,52.23017432,6.422694318,100.3168624,69,11,174,wheat,693,26-Oct-11
Harur,30.88267511,52.69713089,6.97323945,,91,19,169,wheat,958,27-Oct-11
Harbour,21.61239794,57.22063124,6.477667597,141.8402571,59,8,?,wheat,823,28-Oct-11
Gummidipoondi,33.70567542,56.05223695,6.626533863,118.5550251,59,10,171,wheat,1064,29-Oct-11
Gudiyattam,29.89576763,58.17888122,6.949032941,159.9218668,113,19,118,wheat,882,30-Oct-11
Gudalur,28.39103747,56.64521207,6.268937169,138.0059458,51,9,99,wheat,939,31-Oct-11
Gobichettipalayam,,59.97943297,6.976582042,97.92564513,65,9,119,wheat,1137,1-Nov-11
Gingee,24.26818049,52.09864128,6.3492459,95.83816153,121,25,81,wheat,1173,2-Nov-11
Gangavalli,25.41082075,57.40584681,6.535456802,92.06522861,54,7,113,wheat,1076,3-Nov-11
Gandharvakottai,29.83448534,52.92281,6.193914417,79.23405577,65,58,126,wheat,766,4-Nov-11
Erode (West),21.43816465,58.82464004,6.410775773,128.8619472,95,7,194,wheat,879,5-Nov-11
Erode (East),30.34034318,51.68419575,6.841239388,90.20001424,71,63,165,wheat,970,6-Nov-11
Egmore,22.40555923,57.23637673,6.68765778,162.8889752,85,21,139,wheat,776,7-Nov-11
Edapadi,22.66469526,51.51783824,,145.3105423,113,25,175,wheat,491,8-Nov-11
Dr. Radhakrishnan Nagar,27.74080015,56.38574223,6.02697455,111.3764672,76,10,103,wheat,37,9-Nov-11
Dindigul,30.85454844,57.48603099,6.932325656,86.40096727,60,10,154,wheat,5,10-Nov-11
Dharmapuri,27.94020348,58.04350805,6.761467373,103.0601137,55,13,58,wheat,8,11-Nov-11
Dharapuram,,53.56736054,6.506045777,156.9663176,109,19,108,wheat,9,12-Nov-11
Cumbum,21.96790926,55.48066752,6.109296604,,100,18,198,wheat,32,13-Nov-11
Cuddalore,28.13171727,51.23308614,6.332155515,140.9134931,108,?,169,wheat,54,14-Nov-11
Coonoor,32.83179905,57.8682587,6.901257558,128.889532,84,16,200,wheat,278,15-Nov-11
Colachal,,87.80507732,7.18530147,54.73367631,129,23,200,Mung Bean,478,16-Nov-11
Coimbatore North,28.3340432,80.77275974,7.034214276,38.7976407,113,22,200,Mung Bean,656,17-Nov-11
Coimbatore (South),27.01470397,84.34262707,,55.296354,76,11,113,Mung Bean,717,18-Nov-11
Chidambaram,28.17432665,81.04554836,6.828187499,36.35720652,103,10,169,Mung Bean,779,19-Nov-11
Cheyyur,29.87888063,87.32761241,6.89077995,44.75215854,66,9,176,Mung Bean,965,20-Nov-11
Cheyyar,29.89232778,89.71503316,7.165121109,42.99498978,113,23,149,Mung Bean,1067,21-Nov-11
Chepauk-Thiruvallikeni,28.56212158,83.24855855,6.935804256,56.48265193,95,15,191,Mung Bean,948,22-Nov-11
Chengam,,85.5701901,7.196774236,53.01899249,118,19,199,Mung Bean,904,23-Nov-11
Chengalpattu,29.68361658,87.93598094,6.990095452,41.82490236,118,15,195,Mung Bean,1043,24-Nov-11
Bodinayakanur,28.14448546,82.1193047,7.064782138,46.75690086,84,10,198,Mung Bean,1191,25-Nov-11
Bhuvanagiri,29.53037621,86.73346018,7.156563094,59.87232071,91,?,194,Mung Bean,1229,26-Nov-11
Bhavanisagar,27.88352946,86.45147631,6.364967184,44.64407105,51,9,194,Mung Bean,1271,27-Nov-11
Bhavani,28.22471276,82.35916228,6.428054409,44.01206619,98,?,160,Mung Bean,977,28-Nov-11
Bargur,29.008124,84.96089355,6.664187809,45.91011391,103,13,194,Mung Bean,1379,29-Nov-11
Avanashi,29.75538903,86.45193297,6.637677489,37.54602719,55,8,198,Mung Bean,1202,30-Nov-11
Avadi,29.78416743,85.16906976,6.79385576,40.77872823,113,?,149,Mung Bean,677,1-Dec-11
Attur,27.8640132,80.4513142,6.852884643,42.83053902,51,10,199,Mung Bean,287,2-Dec-11
Athoor,27.11026483,84.96771717,7.121571293,51.52617423,64,13,171,Mung Bean,226,3-Dec-11
Aruppukkottai,27.11030369,83.64274107,6.883308033,49.11964582,65,25,194,Mung Bean,6,4-Dec-11
Ariyalur,28.95451232,89.07866095,6.421271178,57.65901369,84,10,195,Mung Bean,12,5-Dec-11
Arcot,29.21780035,87.93724219,6.54450214,43.1386631,94,8,155,Mung Bean,13,6-Dec-11
Aravakurichi,28.7420098,85.81675947,6.452006451,48.54598575,108,23,185,Mung Bean,17,7-Dec-11
Aranthangi,29.65021184,80.29868321,6.489259136,56.76278363,75,25,198,Mung Bean,15,8-Dec-11
Arani,27.23924995,86.404241,6.713410626,37.31236904,109,16,185,Mung Bean,155,9-Dec-11
Arakkonam,28.95172351,81.67085323,6.510840928,56.51103293,113,13,169,Mung Bean,427,10-Dec-11
Anthiyur,28.18837136,82.60629652,6.287380117,37.01110438,94,8,169,Mung Bean,364,11-Dec-11
Anna Nagar,28.30041493,86.20681554,6.86308576,50.47333854,75,9,185,Mung Bean,455,12-Dec-11
Andipatti,27.89636126,88.71782287,6.78415271,57.79863368,75,13,194,Mung Bean,662,13-Dec-11
Anaikattu,28.6899851,87.50436797,6.769415888,44.56598352,124,8,143,Mung Bean,1118,14-Dec-11
Ambur,27.8262623,88.73100226,6.320768488,56.68833819,101,36,165,Mung Bean,979,15-Dec-11
Ambattur,28.70562673,81.59200689,6.705008504,59.87065439,73,11,154,Mung Bean,1027,16-Dec-11
Ambasamudram,28.6362812,84.61431076,6.790736339,48.48319335,97,75,144,Mung Bean,948,17-Dec-11
Alangulam,28.28511547,88.4393979,7.130278657,48.56690235,113,21,155,Mung Bean,1071,18-Dec-11
Alangudi,27.60887393,86.13316408,7.012740397,43.80041104,75,9,108,Mung Bean,1231,19-Dec-11
Alandur,28.60901145,86.99495766,7.155685016,36.94616965,84,9,?,Mung Bean,1134,20-Dec-11
Yercaud,29.24598976,84.80084105,6.991242362,53.43228915,104,23,106,Mung Bean,1128,21-Dec-11
Vriddhachalam,28.62911222,89.1148059,6.218923893,50.49913241,125,28,?,Mung Bean,980,22-Dec-11
Virugambakkam,29.57329479,88.07505524,7.199495368,45.04467075,103,13,159,Mung Bean,1229,23-Dec-11
Virudhunagar,27.82684262,87.16679147,6.389882166,58.37249772,63,9,159,Mung Bean,1208,24-Dec-11
Viralimalai,29.8757015,83.14796296,6.623438282,40.12044158,54,10,159,Mung Bean,761,25-Dec-11
Villupuram,27.33684386,88.50229102,7.033012777,51.09802625,103,20,170,Mung Bean,362,26-Dec-11
Villivakkam,29.83040388,89.30428305,6.32400451,58.86687093,103,15,169,Mung Bean,96,27-Dec-11
Vilavancode,28.2753171,82.76020821,6.397636709,56.04995423,103,?,166,Mung Bean,2,28-Dec-11
Vilathikulam,29.86860065,85.99127934,6.401455706,58.41394143,74,10,179,Mung Bean,3,29-Dec-11
Vikravandi,29.5888162,89.9939693,,54.96121262,85,21,184,Mung Bean,10,30-Dec-11
Veppanahalli,28.07219563,82.9116472,6.478557136,49.61865305,79,10,154,Mung Bean,14,31-Dec-11
Vellore,27.84026517,89.99615558,7.063022095,52.84626009,95,9,198,Mung Bean,11,1-Jan-12
Velachery,27.10818093,87.4512669,6.981758362,55.03723979,113,14,190,Mung Bean,61,2-Jan-12
Veerapandi,27.68515114,81.94268594,6.227134139,54.62243308,76,9,151,Mung Bean,80,3-Jan-12
Vedasandur,29.34594634,85.60472562,6.232836962,59.03629954,51,9,169,Mung Bean,220,4-Jan-12
Vedaranyam,28.36319404,,7.140437859,52.93031105,55,9,150,Mung Bean,476,5-Jan-12
Vasudevanallur,27.65280218,89.80650642,6.459252023,56.52558045,113,13,183,Mung Bean,642,6-Jan-12
Vanur,27.31372793,85.44815232,6.568795404,,110,12,183,Mung Bean,688,7-Jan-12
Vaniyambadi,27.06909959,86.89934108,7.12851089,50.46746116,71,14,103,Mung Bean,571,8-Jan-12
Vandavasi,,85.91625451,6.42937879,39.23831035,53,6,191,Mung Bean,509,9-Jan-12
Valparai,27.73329078,81.13903037,6.248900919,44.17580911,109,13,181,Mung Bean,792,10-Jan-12
Uthiramerur,27.53632932,89.92908171,,45.48591922,98,21,179,Mung Bean,679,11-Jan-12
Uthangarai,29.66461594,84.28187572,6.377568542,56.09542002,69,12,?,Mung Bean,499,12-Jan-12
Usilampatti,,85.85384444,6.415459592,41.39081525,50,9,103,Mung Bean,705,13-Jan-12
Ulundurpettai,28.36363858,87.59810657,6.320662012,57.99524359,59,8,160,Mung Bean,768,14-Jan-12
Udumalaipettai,29.46416042,87.60890009,6.978400282,43.15411472,110,10,155,Mung Bean,519,15-Jan-12
Udhagamandalam,29.73013036,82.89166381,,50.91511275,98,14,113,Mung Bean,564,16-Jan-12
Tittakudi,27.46852989,87.17649,7.184398832,43.78420984,113,13,193,Mung Bean,738,17-Jan-12
Tiruvannamalai,27.77076285,87.09979549,6.402926221,49.50812624,98,7,144,Mung Bean,536,18-Jan-12
Tiruvaikuntam,29.12939524,88.48312598,7.085982325,,55,9,103,Mung Bean,427,19-Jan-12
Tiruvadanai,27.10606808,89.89593328,6.698574085,37.45680611,95,13,160,Mung Bean,44,20-Jan-12
Tiruttani,28.88078945,86.94206817,6.594739424,53.79732545,99,21,110,Mung Bean,28,21-Jan-12
Tiruppur (South),28.14720892,83.8001509,6.647965508,37.44800463,94,23,174,Mung Bean,31,22-Jan-12
Tiruppur (North),,80.14487166,7.120032489,54.7960127,?,23,150,Mung Bean,11,23-Jan-12
"Tiruppattur, Sivaganga",27.41503453,80.98004661,6.91380932,40.53173216,69,13,164,Mung Bean,46,24-Jan-12
"Tirupattur, Vellore",29.27308605,89.4875022,7.073048264,50.9246554,74,9,187,Mung Bean,16,25-Jan-12
Tirunelveli,29.65296893,88.48587386,6.5304707,56.01913159,94,9,122,Mung Bean,68,26-Jan-12
